IT8.7/2
ORIGINATOR "Eastman Kodak Company"
DESCRIPTOR "Q60R1, IT8.7/2 Data Files, 5x7 inch Ektacolor"
CREATED  "SEPTEMBER 29,1997"
MANUFACTURER " Eastman Kodak Company"
PROD_DATE "1997:08 "
SERIAL  "1997:08 BATCH AVERAGE DATA"
MATERIAL "Ektacolor Product Family"
KEYWORD "MEAN_DE" # Mean Delta E of samples compared to batch average
#
# STDEV_DE in this data set is the average of the standard deviations of
# L*, a* and b*.  It is used to derive an estimate of the chi-squared
# parameter which is recommended as the predictor of the variability of
# DELTAE.  SEE FILE ON THIS DISK CALLED CHI-SQ.*
#
NUMBER_OF_FIELDS 12
BEGIN_DATA_FORMAT
SAMPLE_ID XYZ_X XYZ_Y XYZ_Z LAB_L LAB_A LAB_B STDEV_X STDEV_Y STDEV_Z
    MEAN_DE STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS  264
BEGIN_DATA
#ID    X      Y      Z      L      A      B    S_X   S_Y   S_Z   M_DE  S_DE
A01   3.77   3.14   2.34  20.58  12.03   2.10  0.17  0.12  0.12  0.80  0.49
A02   4.70   3.14   1.94  20.60  24.88   5.83  0.19  0.11  0.10  0.82  0.50
A03   5.46   3.07   1.60  20.31  35.46   8.93  0.17  0.09  0.08  0.78  0.47
A04   5.80   3.13   1.46  20.55  38.30  10.89  0.17  0.08  0.07  0.77  0.47
A05  12.81  11.09   8.87  39.72  14.89   1.00  0.42  0.34  0.37  0.92  0.56
A06  15.32  11.31   7.90  40.09  29.04   5.22  0.42  0.30  0.34  0.90  0.55
A07  18.01  11.48   7.06  40.38  42.77   9.11  0.39  0.24  0.31  0.87  0.52
A08  19.60  11.53   6.75  40.46  50.63  10.53  0.31  0.19  0.29  0.84  0.49
A09  42.48  41.78  35.22  70.72   6.65  -1.06  0.86  0.79  0.77  0.77  0.47
A10  44.64  41.50  33.33  70.52  13.86   1.34  0.82  0.75  0.76  0.77  0.46
A11  47.42  41.35  31.52  70.42  22.17   3.90  0.68  0.64  0.74  0.74  0.43
A12  48.13  40.92  30.67  70.12  25.42   4.70  0.62  0.59  0.72  0.73  0.43
A13  70.63  75.20  61.93  89.49  -3.97   0.12  0.67  0.64  0.45  0.43  0.28
A14  73.01  73.76  59.40  88.81   3.95   1.47  0.49  0.55  0.53  0.43  0.27
A15  75.68  78.59  61.02  91.05  -0.20   3.71  0.44  0.47  0.48  0.40  0.23
A16  68.62  71.14  60.01  87.55   0.07  -1.31  0.68  0.68  0.47  0.44  0.28
A17  72.81  73.46  59.35  88.67   4.17   1.27  0.44  0.52  0.48  0.44  0.27
A18  70.89  75.29  61.85  89.53  -3.59   0.27  0.63  0.60  0.41  0.44  0.28
A19  68.84  71.65  60.48  87.80  -0.54  -1.36  0.64  0.64  0.42  0.43  0.27
B01   3.56   3.13   1.84  20.55   8.98   6.77  0.16  0.12  0.08  0.77  0.46
B02   4.34   3.23   1.14  20.92  18.71  15.74  0.18  0.12  0.05  0.80  0.49
B03   4.82   3.11   0.64  20.49  26.86  23.23  0.18  0.11  0.02  0.80  0.50
B04   4.94   3.00   0.46  20.04  30.39  25.79  0.17  0.10  0.02  0.83  0.52
B05  12.72  10.95   6.45  39.50  15.29  10.20  0.40  0.31  0.28  0.91  0.55
B06  15.11  11.43   4.45  40.29  26.88  21.49  0.38  0.28  0.20  0.84  0.51
B07  17.62  11.46   2.56  40.35  40.83  34.35  0.32  0.21  0.12  0.70  0.42
B08  19.24  11.36   1.63  40.17  50.04  42.74  0.24  0.15  0.07  0.55  0.32
B09  41.25  40.65  31.95  69.93   6.38   2.39  0.76  0.68  0.74  0.79  0.47
B10  44.35  41.71  29.45  70.67  12.39   7.58  0.72  0.66  0.73  0.77  0.46
B11  47.09  41.91  26.01  70.81  19.59  13.57  0.63  0.60  0.73  0.80  0.46
B12  48.83  42.37  24.82  71.13  23.00  16.22  0.52  0.52  0.69  0.82  0.46
B13  64.10  70.31  61.51  87.15  -8.23  -3.50  0.74  0.67  0.43  0.50  0.32
B14  68.31  65.60  56.77  84.79  11.27  -2.77  0.46  0.52  0.53  0.43  0.26
B15  74.23  77.14  55.09  90.39  -0.30   8.63  0.43  0.45  0.66  0.52  0.28
B16  56.15  58.23  49.23  80.87  -0.00  -1.35  0.79  0.74  0.69  0.60  0.36
B17  66.49  63.97  50.12  83.95  10.90   2.96  0.42  0.49  0.64  0.55  0.32
B18  62.82  69.00  53.62  86.50  -8.38   3.50  0.75  0.67  0.61  0.59  0.36
B19  57.82  59.24  56.46  81.42   1.72  -8.27  0.73  0.68  0.47  0.52  0.32
C01   5.01   4.86   2.71  26.33   4.04   8.95  0.19  0.16  0.12  0.78  0.47
C02   5.26   4.77   1.56  26.07   8.26  19.22  0.19  0.16  0.06  0.75  0.46
C03   5.58   4.76   0.75  26.03  12.26  30.72  0.21  0.16  0.02  0.92  0.57
